				0.000000000				
172.28.35.21	10.0.2.15	56534	5000	16.239832000	1	0	0	0
10.0.2.15	172.28.35.21	5000	56534	16.259426000	0	1	0	1
				21.016210000				
				21.016225000				
				21.280036000				
				21.280281000				
				138.239849000				
172.28.35.21	185.125.188.55	37950	443	169.347660000	1	0	0	0
185.125.188.55	172.28.35.21	443	37950	169.350124000	1	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.350152000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.350387000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.351875000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.366660000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.632366000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.632398000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.634439000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.634448000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.634934000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.635424000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.635847000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.637606000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.654714000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.776399000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.819916000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.828748000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.828761000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	169.833596000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	169.836064000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	170.136091000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	170.136265000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	170.136622000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	170.136629000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	170.137329000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	170.137336000	0	1	0	0
185.125.188.55	172.28.35.21	443	37950	170.279425000	0	1	0	0
172.28.35.21	185.125.188.55	37950	443	170.319968000	0	1	0	0
